Player Name,Team,League,POS,GP,MIN,ST,ON,OFF,Y,YR,R,INT,BLK,TKLW,ACRO,BR,DR,DW
Javi Moyano,REV,LIGA,D,27,2106,25,2,11,3,0,0,25,9,17,2,110,7,80
Christophe Kerbrat,GUI,FRAN,D,25,2098,25,0,3,3,0,1,51,10,23,0,107,3,93
Sofiane Boufal,CEL,LIGA,M,35,2097,25,10,23,6,0,0,10,0,21,6,124,143,255
Pirmin Schwegler,HAN,BUND,M,27,2087,25,2,11,7,0,0,41,5,34,0,133,15,147
Adam Smith,BOU,EPL,M/D,25,2072,25,0,6,5,0,1,31,7,31,4,106,20,136
Jeff Hendrick,BUR,EPL,M,32,2070,25,7,13,4,0,0,12,5,12,4,121,12,66
Florian Neuhaus,BM,BUND,M,32,2070,25,7,16,5,0,0,10,1,15,5,110,29,98
Tim Ream,FUL,EPL,D,26,2049,25,1,5,1,0,0,25,10,14,0,111,6,84
Benat,ATH,LIGA,M,27,2045,25,2,15,8,0,0,24,1,24,2,178,9,93
Simon Kjaer,SEV,LIGA,D,26,2015,25,1,9,5,0,0,27,34,19,0,108,0,117
Luis Alberto,LAZ,SERI,F/M,27,2001,25,2,15,5,0,1,10,3,22,9,117,24,115
Lucas Torreira,ARS,EPL,M,34,2379,24,10,4,7,0,1,41,7,39,2,220,13,175
Daniel Bessa,GEN,SERI,M,33,2356,24,9,9,7,0,0,18,4,34,5,157,16,107
Aritz Elustondo,RSO,LIGA,D,27,2253,24,3,2,5,0,0,39,7,29,9,137,16,154
Paulo Oliveira,EIB,LIGA,D,28,2243,24,4,1,4,0,0,36,10,39,0,123,0,136
Eddy Gnahore,AMN,FRAN,M,33,2234,24,9,7,2,2,2,23,4,27,0,160,22,98
Tom Cairney,FUL,EPL,M,31,2198,24,7,11,0,0,0,10,5,21,5,139,43,129
Jordan Amavi,MAR,FRAN,D,28,2176,24,4,2,7,0,2,46,8,50,21,110,22,200
Youcef Atal,NIC,FRAN,D,28,2171,24,4,2,8,0,0,53,8,42,9,140,96,260
Jose Luis Palomino,ATA,SERI,D,29,2171,24,5,3,5,1,1,68,17,30,2,195,5,115
Fabian Lustenberger,HB,BUND,D,29,2170,24,5,2,2,0,0,39,18,30,0,139,3,130
Martin Montoya,BHA,EPL,D,25,2166,24,1,0,4,0,0,48,10,36,16,98,12,109
Mohamed Diame,NEW,EPL,M,29,2166,24,5,4,3,0,0,30,9,47,1,144,16,148
Ryan Bertrand,SOU,EPL,D,24,2160,24,0,0,8,0,0,28,5,27,12,76,6,111
Jan Bednarek,SOU,EPL,D,25,2150,24,1,1,7,0,0,71,27,25,0,129,1,127
Zanka,HUD,EPL,D,24,2148,24,0,1,6,0,0,68,14,31,1,153,3,102
Andrea Beghetto,FRO,SERI,M/D,26,2137,24,2,3,3,0,0,17,4,14,49,117,7,52
Ezequiel Garay,VAL,LIGA,D,24,2137,24,0,1,4,0,0,16,23,17,0,89,2,105
Daniel Carrico,SEV,LIGA,M,24,2132,24,0,2,10,0,0,31,12,18,1,118,8,107
Chris Smalling,MUN,EPL,D,24,2128,24,0,1,1,0,0,26,25,17,0,81,1,140
Bram Nuytinck,UDN,SERI,D,27,2127,24,3,3,4,0,1,29,27,35,0,74,2,93
Theo Walcott,EVE,EPL,F/M,37,2122,24,13,16,1,0,0,22,1,17,12,112,31,98
Emiliano Insua,SGT,BUND,D,27,2118,24,3,5,4,0,1,31,2,33,27,147,33,119
Adam Marusic,LAZ,SERI,M/D,26,2114,24,2,3,2,0,1,24,4,15,16,111,22,103
Elseid Hysaj,NAP,SERI,D,27,2109,24,3,5,4,0,0,24,3,28,5,154,18,105
Bertrand Traore,LYO,FRAN,F/M,33,2108,24,9,15,4,0,0,15,5,22,6,96,48,150
Maxime Lopez,MAR,FRAN,M,31,2096,24,7,13,4,0,0,19,2,24,10,140,13,79
Thiago Silva,PSG,FRAN,D,25,2079,24,1,3,4,0,0,32,20,13,0,156,2,91
Ante Rebic,EF,BUND,F/M,29,2073,24,5,11,3,1,1,8,1,9,9,78,47,127
Ambroise Oyongo,MTP,FRAN,D,25,2072,24,1,5,5,0,0,38,6,21,16,104,28,109
Karim Rekik,HB,BUND,D,24,2070,24,0,1,4,0,1,34,16,22,0,118,3,110
Diego Demme,RBL,BUND,M,26,2061,24,2,8,4,0,0,28,3,49,4,162,9,163
Mikel Merino,RSO,LIGA,M,29,2060,24,5,9,8,1,1,29,2,28,5,156,28,198
Luca Ceppitelli,CAG,SERI,D,24,2053,24,0,1,6,0,2,19,24,24,0,139,3,117
Faitout Maouassa,NIM,FRAN,M/D,26,2048,24,2,2,1,1,1,22,5,30,15,106,23,120
Filipe Luis,ATL,LIGA,D,27,2037,24,3,9,4,0,0,44,3,36,9,143,23,121
Unai Bustinza,LGN,LIGA,D,25,2029,24,1,5,9,1,1,53,13,31,6,101,3,127
Christian Gentner,SGT,BUND,M,29,2023,24,5,10,3,0,0,31,3,37,11,130,11,138
Kerem Demirbay,HOF,BUND,M,26,2022,24,2,8,6,0,0,23,10,35,7,191,57,165
Esteban Granero,ESP,LIGA,M,28,2019,24,4,11,11,0,0,26,8,32,3,132,34,147
