Player Name,Team,League,POS,GP,MIN,BR
Kenedy,NEW,EPL,F/M,25,1343,110
Faitout Maouassa,NIM,FRAN,M/D,27,2138,109
Luca Rigoni,PAR,SERI,M,23,1763,109
Arthur,BAR,LIGA,M,27,1439,109
Darko Brasanac,ALA,LIGA,M,24,1581,109
Wahbi Khazri,ETI,FRAN,F/M,32,2823,108
Toni,REV,LIGA,M,26,1774,108
Lucas Biglia,MIL,SERI,M/D,16,1114,108
Memphis Depay,LYO,FRAN,F/M,36,2734,107
Giovani Lo Celso,BET,LIGA,M,32,2400,107
Adam Smith,BOU,EPL,M/D,25,2072,106
Thomas Lemar,ATL,LIGA,M,31,1827,106
Lorenzo Pellegrini,ROM,SERI,M,25,1827,106
Gonzalo Escalante,EIB,LIGA,M,32,1782,106
Manu Trigueros,VIL,LIGA,M,24,1547,106
Allan Saint-Maximin,NIC,FRAN,M,34,2910,105
Willian,CHE,EPL,M,32,2108,105
Alfonso Pedraza,VIL,LIGA,M/D,34,2087,105
Radja Nainggolan,INT,SERI,M,29,1971,105
Alfredo Morales,DUS,BUND,M,24,1549,105
Fred,MUN,EPL,M,17,1042,105
Portu,GIR,LIGA,M,34,2833,104
Angelo Fulgini,ANG,FRAN,M,31,1636,104
Lukas Lerager,BDX,FRAN,M,18,1299,104
Eden Hazard,CHE,EPL,M,37,2925,103
Gonzalo Castro,SGT,BUND,M,25,1691,103
Jaroslav Plasil,BDX,FRAN,M,23,1444,103
Ivan Perisic,INT,SERI,F/M,34,2706,102
Sergi Roberto,BAR,LIGA,M/D,29,2088,102
Samuel Chimerenka Chukwueze,VIL,LIGA,M,26,1708,102
Dwight McNeil,BUR,EPL,F/M,21,1597,102
Dani Ceballos,RMD,LIGA,M,23,1246,102
Nanitamo Jonathan Ikone,LIL,FRAN,M,38,2814,101
Manu Garcia,TOU,FRAN,M,31,1846,101
Fode Ballo-Toure,MON,FRAN,M/D,18,1595,101
Yannick Cahuzac,TOU,FRAN,M,23,1427,101
Angel Di Maria,PSG,FRAN,M,30,2339,100
Nicolo Zaniolo,ROM,SERI,M,27,1772,100
Fran Beltran,CEL,LIGA,M,30,1512,100
Ismael Tiemoko Diomande,CAE,FRAN,M,18,1293,100
Geoffrey Kondogbia,VAL,LIGA,M,19,1244,100
Demarai Gray,LEI,EPL,F/M,34,1996,99
Oscar Melendo,ESP,LIGA,M,32,2002,99
Marcus Coco,GUI,FRAN,M,33,1839,99
Pablo De Blasis,EIB,LIGA,M,24,1517,99
Leandro Paredes,PSG,FRAN,M,16,1250,99
Santiago Caseres,VIL,LIGA,M,23,1588,98
Damian Musto,HUE,LIGA,M,24,1687,97
Ivan Radovanovic,GEN,SERI,M,16,1282,97
Borja Valero,INT,SERI,M,27,1226,97
Adrien Rabiot,PSG,FRAN,M,14,1064,97
Bertrand Traore,LYO,FRAN,F/M,34,2124,96
Vincenzo Grifo,FBG,BUND,M,17,1518,96
Inigo Cordoba,ATH,LIGA,F/M,23,1322,96
Gonzalo Melero,HUE,LIGA,M,22,1346,96
Cristian Tello,BET,LIGA,M,29,1559,96
Son Heung-Min,TOT,EPL,F/M,31,2045,95
Lars Bender,LEV,BUND,M,21,1433,95
Younousse Sankhare,BDX,FRAN,M,22,1482,95
Javi Galan,HUE,LIGA,M/D,16,1440,95
Javi Martinez,MUN,BUND,M/D,21,1311,95
Lucas Moura,TOT,EPL,F/M,32,2128,94
Pedro,CHE,EPL,F/M,31,1780,94
